code_name,SMILES
Anion_0045,CC(C)(Oc1ccc(Cl)cc1)C(=O)[O-]
Anion_0046,C=CCCCCCCCCC(=O)[O-]
Anion_0047,O=C([O-])COc1ccccc1
Anion_0048,CCCCCCCC/C=C/CCCCCCCC(=O)O
Anion_0049,O=C([O-])C#Cc1ccccc1
Anion_0050,O=C([O-])C(F)(F)C(F)(F)C(F)(F)F
Anion_0051,C=CCCC(=O)[O-]
Anion_0052,O=C([O-])C12CC3CC(CC(C3)C1)C2
Anion_0053,O=C([O-])CCCCCCCCCCS
Anion_0054,CCCCCCCCCCC(=O)[O-]
Anion_0055,O=C([O-])C1CC1
Anion_0056,O=C([O-])C(c1ccccc1)c1ccccc1
Anion_0057,COc1ccc(C=CC(=O)[O-])cc1
Anion_0058,O=C([O-])c1cc2ccccc2[nH]1
Anion_0059,CC(C)=CC(=O)[O-]
Anion_0060,O=C([O-])Cc1ccc(Cl)cc1
Anion_0061,C#CCCC(=O)[O-]
Anion_0062,O=C([O-])C(=O)Cc1ccccc1
Anion_0063,C=CCC(=O)[O-]
Anion_0064,CCC(=O)C(=O)[O-]
Anion_0065,COCC(=O)[O-]
Anion_0066,CC=C(C)C(=O)[O-]
Anion_0067,O=C([O-])Cc1ccc(F)cc1
Anion_0068,O=C([O-])C1CCCC1
Anion_0069,CCOC(=O)CC(=O)[O-]
Anion_0070,O=C([O-])Cc1ccc(Br)cc1
Anion_0071,CC(C)CCC(=O)[O-]
Anion_0072,CC(C)(C)OC(=O)N1CCC(C(=O)[O-])CC1
Anion_0073,COc1ccc(CC(=O)[O-])cc1OC
Anion_0074,O=C([O-])CCc1c[nH+]c2cccc[c-]12
Anion_0075,Cc1ccc(CC(=O)[O-])cc1
Anion_0076,O=C([O-])c1c[nH+]c2cccc[c-]12
Anion_0077,O=C([O-])CCC(=O)c1ccccc1
Anion_0078,O=C([O-])C=Cc1c[nH+]c[n-]1
Anion_0079,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Anion_0080,CCCCCCCCCCCCCCCCCCC(=O)[O-]
Anion_0081,O=C([O-])c1ccc[nH]1
Anion_0082,C#CCCCC(=O)[O-]
Anion_0083,O=C([O-])C1=CC=[S+2]=C1
Anion_0084,O=C([O-])Cc1ccc2ccccc2c1
Anion_0085,O=C([O-])CN1C(=O)c2ccccc2C1=O
Anion_0086,COC(=O)CCC(=O)[O-]
Anion_0087,O=C([O-])C=Cc1ccc(Cl)cc1
Anion_0088,O=C([O-])c1cc2ccccc2oc1=O
Anion_0089,CCC(CC)C(=O)[O-]
Anion_0090,COc1ccc(C=CC(=O)[O-])cc1OC
Anion_0091,C=CCCCC(=O)[O-]
Anion_0092,O=C([O-])C1CCC1
Anion_0093,O=C([O-])C1=[C-]O[C+]=C1
Anion_0094,COc1cccc(CC(=O)[O-])c1
Anion_0095,O=C([O-])CCCc1ccc2ccc3cccc4ccc1c2c34
Anion_0096,CC(=O)CCCC(=O)[O-]
Anion_0097,O=C([O-])Cc1cccs1
Anion_0098,O=C([O-])CCCCc1ccccc1
Anion_0099,O=C([O-])CC1CCCCC1
Anion_0100,Cc1ccc(C=CC(=O)[O-])cc1
Anion_0102,CC(C)(C)CC(=O)[O-]
Anion_0103,O=C([O-])c1cc2ccccc2o1
Anion_0104,O=C([O-])Cc1ccccc1Cl
Anion_0105,CC(C)CC(=O)C(=O)[O-]
Anion_0106,O=C([O-])Cc1cccc(Cl)c1
Anion_0107,O=C([O-])CC1=CC=[S+2]=C1
Anion_0108,COC(=O)C=CC(=O)[O-]
Anion_0109,O=C([O-])C(F)F
Anion_0110,O=C([O-])C(F)(F)C(F)(F)F
Anion_0111,N#[N+][N-]CC(=O)[O-]
Anion_0112,COc1ccccc1CC(=O)[O-]
Anion_0113,Cc1ccc(C(=O)c2ccc(CC(=O)[O-])n2C)cc1
Anion_0114,O=C([O-])C=Cc1ccco1
Anion_0115,C=C(C(=O)[O-])c1ccccc1
Anion_0116,CC(C)C(=O)C(=O)[O-]
Anion_0117,COc1ccc(CCC(=O)[O-])cc1
Anion_0118,O=C([O-])C(=O)Cc1c[nH+]c2cccc[c-]12
Anion_0119,O=C([O-])Cc1cccc(Br)c1
Anion_0120,O=C([O-])Cc1ccc(C(F)(F)F)cc1
Anion_0121,CCCC=CC(=O)[O-]
Anion_0122,CCOC(=O)C=CC(=O)[O-]
Anion_0123,O=C([O-])C=Cc1ccc(F)cc1
Anion_0124,O=C([O-])COc1ccc2ccccc2c1
Anion_0125,CCCCCCCCCCC/C=C\CCCCC(=O)[O-]
Anion_0126,COC(=O)CCCCC(=O)[O-]
Anion_0127,O=C([O-])Cc1ccccc1Br
Anion_0128,O=C([O-])c1cc2ccccc2s1
Anion_0129,CCC=CC(=O)[O-]
Anion_0130,CC(C)=CCCC(C)=CC(=O)[O-]
Anion_0131,O=C([O-])C1=CCCCC1
Anion_0132,O=C([O-])CCC1=[N+]=C(c2ccccc2)C(=C2C=CC=C[CH-]2)O1
Anion_0133,O=C([O-])CN1C(=O)C[S+]=C1[S-]
Anion_0134,CCCCCCCCCCCCCC=CC(=O)[O-]
Anion_0135,O=C([O-])CCCC(=O)c1ccccc1
Anion_0136,O=C([O-])CC12CC3CC(CC(C3)C1)C2
Anion_0137,O=C([O-])CF
Anion_0138,O=C([O-])Cc1ccc2c(c1)OCO2
Anion_0139,COC1=CC=CC(=CC=C([O-])[O-])[CH+]1
Anion_0140,COC1=CC(=CC=C([O-])[O-])C=C(OC)[C+]1OC
Anion_0141,O=C([O-])Cc1ccc(Cl)c(Cl)c1
Anion_0142,C=CCCCCC(=O)[O-]
Anion_0143,O=C([O-])c1ccc(Cl)s1
Anion_0144,Cc1c[n+](CC(=O)[O-])c([O-])[nH+]c1[O-]
Anion_0145,COc1cc(CC(=O)[O-])cc(OC)c1OC
Anion_0146,Cc1ccc(C(=O)[O-])s1
Anion_0147,CC=C(C)C(=O)[O-]
Anion_0148,O=C([O-])C=Cc1ccc2c(c1)OCO2
Anion_0149,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-]
Anion_0150,O=C([O-])Cc1cccnc1
Anion_0151,CC(=Cc1ccccc1)C(=O)[O-]
Anion_0152,O=C([O-])CC(F)(F)F
Anion_0153,Cc1ccc2c(=O)c3cccc(CC(=O)[O-])c3oc2c1C
Anion_0154,O=C([O-])CC(c1ccccc1)c1ccccc1
Anion_0155,O=C([O-])CC1CC1
Anion_0156,CC(C)(C(=O)[O-])c1ccccc1
Anion_0157,CCOC(=O)CCC(=O)[O-]
Anion_0158,COc1ccccc1C=CC(=O)[O-]
Anion_0159,O=Cc1ccc(C(=O)[O-])o1
Anion_0160,O=C([O-])Cc1ccccc1F
Anion_0161,O=C([O-])Cc1cccc(F)c1
Anion_0162,O=C([O-])CCC1CCCCC1
Anion_0163,O=C([O-])CCCCCN1C(=O)C=CC1=O
Anion_0164,O=C([O-])C(c1ccccc1)(c1ccccc1)c1ccccc1
Anion_0165,CCCC(=O)C(=O)[O-]
Anion_0166,COc1ccc(C(=O)CCC(=O)[O-])cc1
Anion_0167,CCOCC(=O)[O-]
Anion_0168,C#CCCCCC(=O)[O-]
Anion_0169,COC(=O)CC(=O)[O-]
Anion_0170,O=C([O-])C1c2ccccc2-c2ccccc21
Anion_0171,C[n+]1c(C(=O)[O-])cc2cccc[c-]21
Anion_0172,COc1ccc(C(=O)C(=O)[O-])cc1
Anion_0173,C#CCCCCCCCCC(=O)[O-]
Anion_0174,CCC(C)(C)C(=O)[O-]
Anion_0175,COc1ccc(C#CC(=O)[O-])cc1
Anion_0177,C=CCCCCCCCC(=O)[O-]
Anion_0178,CC(=O)CCCCC(=O)[O-]
Anion_0179,COc1ccc(CCC(=O)[O-])cc1OC
Anion_0180,O=C([O-])C=Cc1ccccc1Cl
Anion_0181,Cc1ccc(C(=O)C(=O)[O-])cc1
Anion_0182,O=C([O-])C(=O)c1ccc(Cl)cc1
Anion_0183,O=C([O-])CC1CCCC1
Anion_0184,COC(=O)CCCC(=O)[O-]
Anion_0185,O=C([O-])C1=[N+]=[NH+]c2ccccc21
Anion_0186,CCC=CCC(=O)[O-]
Anion_0187,O=C([O-])c1cc[nH+][n-]1
Anion_0188,CSCC(=O)[O-]
Anion_0189,Cc1ccc(C(=O)CCC(=O)[O-])cc1
Anion_0190,O=C([O-])CC=Cc1ccccc1
Anion_0191,O=C([O-])c1cc2cc3c4c(c2oc1=O)CCCN4CCC3
Anion_0193,O=C([O-])C=Cc1cccnc1
Anion_0194,CC1(C(=O)[O-])CCCCC1
Anion_0195,O=C([O-])Cc1cc2ccccc2[nH]1
Anion_0196,O=C([O-])C1CCCCCC1
Anion_0197,O=C([O-])CCC(=O)c1ccc(Cl)cc1
Anion_0198,Cc1ccc(OCC(=O)[O-])cc1
Anion_0199,O=C([O-])CCC(=O)OCc1ccccc1
Anion_0200,CC(=O)OCC(=O)[O-]
Anion_0201,C=C(C(=O)[O-])C(F)(F)F
Anion_0202,COC(=O)CCCCCCC(=O)[O-]
Anion_0203,Cc1ccccc1OCC(=O)[O-]
Anion_0204,O=C([O-])Cc1cccc(C(F)(F)F)c1
Anion_0205,CC(C)(C)OC(=O)N1CC(C(=O)[O-])C1
Anion_0206,O=C([O-])C=Cc1cccs1
Anion_0207,COCCC(=O)[O-]
Anion_0208,COC(=O)CCCCCCCC(=O)[O-]
Anion_0209,CC(C)(C)C(=O)C(=O)[O-]
Anion_0210,O=C([O-])C=Cc1ccc(C(F)(F)F)cc1
Anion_0211,O=C([O-])C(=O)c1cccs1
Anion_0212,O=C([O-])c1cc2cc(Cl)ccc2[nH]1
Anion_0213,O=C([O-])Cc1ccccc1I
Anion_0214,O=C([O-])C=CC=Cc1ccccc1
Anion_0215,O=C([O-])COc1ccccc1Cl
Anion_0216,O=C([O-])C(F)(F)S(=O)(=O)F
Anion_0217,O=C([O-])C=Cc1cccc(Cl)c1
Anion_0218,O=C([O-])C=Cc1ccc(C[N+]2=CC=[N+]=C2)cc1
Anion_0219,O=C([O-])CCN1C(=O)C=CC1=O
Anion_0220,O=C([O-])CCc1ccc(Cl)cc1
Anion_0221,O=C([O-])Cc1ccc(Cl)cc1Cl
Anion_0222,O=C([O-])CCN1C(=O)c2ccccc2C1=O
Anion_0223,N#CCCC(=O)[O-]
Anion_0224,CC1=CC=[S+2]=C1C(=O)[O-]
Anion_0225,CCOC(=O)CCCCC(=O)[O-]
Anion_0226,CC1(C(=O)[O-])CC1
Anion_0227,COCCOCCOCC(=O)[O-]
Anion_0228,CCCCCCCC=CC(=O)[O-]
Anion_0229,O=C([O-])c1c[s+]c[n-]1
Anion_0230,COc1ccc(CCCC(=O)[O-])cc1
Anion_0231,O=C([O-])C1=CCCC1
Anion_0232,O=C([O-])CS(=O)(=O)c1ccccc1
Anion_0233,O=C([O-])COc1cccc2ccccc12
Anion_0234,O=C([O-])C(=O)c1ccc(Br)cc1
Anion_0235,O=C([O-])CCCCCc1ccccc1
Anion_0236,CC(C)(C)OC(=O)N1CCC(CC(=O)[O-])CC1
Anion_0237,Cn1cc(C(=O)[O-])c2ccccc21
Anion_0238,O=C([O-])Cc1ccc(S)cc1
Anion_0239,O=C([O-])c1c[nH+]c[n-]1
Anion_0240,O=C([O-])CCCCCS
Anion_0241,COc1cccc(CCC(=O)[O-])c1
Anion_0242,O=C1CC(C(=O)[O-])C1
Anion_0243,O=C([O-])Cc1ccccn1
Anion_0244,O=C([O-])C[S+]=C([S-])c1ccccc1
Anion_0245,CC=CCC(=O)[O-]
Anion_0246,O=C([O-])Cc1ccc(I)cc1
Anion_0247,O=C([O-])C=Cc1c[nH+]c2cccc[c-]12
Anion_0248,O=C([O-])C(=O)c1ccc(F)cc1
Anion_0249,O=C([O-])CC1=CC=[N+]=C[CH-]1
Anion_0250,Cc1ccccc1C=CC(=O)[O-]
Anion_0251,CCCCCC=CC(=O)[O-]
Anion_0252,Cc1ccc(CCC(=O)[O-])cc1
Anion_0253,CC(C)CCCCCCCCCCCCCCC(=O)[O-]
Anion_0254,CCC=C(C)C(=O)[O-]
Anion_0255,O=C([O-])C1CC=CC1
Anion_0256,CC(C(=O)[O-])(c1ccccc1)c1ccccc1
Anion_0257,CC1=CC(=C([O-])[O-])[N-]O1
Anion_0258,COc1ccc(OCC(=O)[O-])cc1
Anion_0259,O=C([O-])CCc1cccnc1
Anion_0260,O=C([O-])CCCN1C(=O)c2ccccc2C1=O
Anion_0261,N#[N+][N-]CCCCC(=O)[O-]
Anion_0262,O=C([O-])CCCC1CCCCC1
Anion_0263,CC(=CC(=O)[O-])c1ccccc1
Anion_0264,O=C([O-])Cc1c[nH+]c[n-]1
Anion_0265,O=C([O-])C1c2ccccc2Oc2ccccc21
Anion_0266,O=C1CCC(C(=O)[O-])CC1
Anion_0267,O=C([O-])CCOc1ccccc1
Anion_0268,COC(=O)CCCCCCCCC(=O)[O-]
Anion_0269,O=C([O-])COc1ccc(F)cc1
Anion_0270,O=C([O-])C1=[N+]=c2ccccc2=[NH+]1
Anion_0271,O=C([O-])CC1=CCCCC1
Anion_0272,C=CCC(C)(C)C(=O)[O-]
Anion_0273,O=C([O-])C=CC(=O)c1ccccc1
Anion_0274,O=C([O-])CCC(=O)c1ccc(F)cc1
Anion_0275,O=C([O-])CCC(=O)c1ccc(Br)cc1
Anion_0276,O=C([O-])CN1CCOCC1
Anion_0277,N#Cc1ccc(CC(=O)[O-])cc1
Anion_0278,O=C([O-])C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
Anion_0279,CC1=CC=CC(=CC=C([O-])[O-])[CH+]1
Anion_0281,Cc1ccc(C(=O)[O-])o1
Anion_0282,O=C1CCC(C(=O)[O-])CO1
Anion_0283,O=C([O-])CCC(F)(F)F
Anion_0284,O=C([O-])CCC1CCCC1
Anion_0285,O=C([O-])C(=O)c1ccco1
Anion_0286,O=C([O-])C1CCN(C(=O)OCc2ccccc2)CC1
Anion_0287,COc1cc(CCC(=O)[O-])cc(OC)c1OC
Anion_0288,O=C([O-])C1=[N+]=CC=[S+]1
Anion_0289,O=C([O-])C(=O)CCc1ccccc1
Anion_0290,CC(C)CCCC(=O)[O-]
Anion_0291,CCCC#CC(=O)[O-]
Anion_0292,O=C([O-])Cc1c(Cl)cccc1Cl
Anion_0293,C=CC=CC(=O)[O-]
Anion_0295,O=C([O-])COc1ccc(Br)cc1
Anion_0296,O=C([O-])C#Cc1ccc(F)cc1
Anion_0297,O=C([O-])CC1=CC(=O)OC1=O
Anion_0299,O=Cc1ccc(OCC(=O)[O-])cc1
Anion_0300,O=C([O-])C1(c2ccccc2)CCCC1
Anion_0301,C=C(Cc1ccccc1)C(=O)[O-]
Anion_0302,O=C([O-])CCc1ccccc1Br
Anion_0303,O=C([O-])C1CCC(F)(F)CC1
Anion_0304,O=C([O-])CCCCC(=O)c1ccccc1
Anion_0305,O=C([O-])C=Cc1cccc(F)c1
Anion_0306,CCOC(=O)C(=O)[O-]
Anion_0307,O=C([O-])CC(=O)OCc1ccccc1
Anion_0308,C[n+]1c([O-])c2c(ncn2CC(=O)[O-])[n+](C)c1[O-]
Anion_0309,CN(CC(=O)[O-])C(=O)OCc1ccccc1
Anion_0310,O=C([O-])Cc1ccc2ccc3cccc4ccc1c2c34
Anion_0311,O=C([O-])c1cncs1
Anion_0312,O=C([O-])CCCS
Anion_0313,CC(C)=CCC(=O)[O-]
Anion_0314,CCC#CC(=O)[O-]
Anion_0315,O=C([O-])C(=O)CC(=O)c1ccccc1
Anion_0316,COCCOCC(=O)[O-]
Anion_0317,O=C([O-])CSCc1ccccc1
Anion_0318,Cc1c(C(=O)[O-])oc2ccccc12
Anion_0319,Cc1cccc(OCC(=O)[O-])c1
Anion_0320,O=C([O-])CCc1ccc2c(c1)OCO2
Anion_0321,CCOC(=O)C=CC(=O)[O-]
Anion_0322,CC(C)Cc1ccc(CC(=O)[O-])cc1
Anion_0323,CCC(=O)CCC(=O)[O-]
Anion_0324,Cn1cc(C(=O)[O-])cn1
Anion_0325,CN1CCC(C(=O)[O-])CC1
Anion_0326,O=C([O-])c1coc2ccccc2c1=O
Anion_0327,C#CCC(=O)[O-]
Anion_0328,C=CC(=O)OCCC(=O)[O-]
Anion_0329,O=C([O-])C=Cc1cccc2ccccc12
Anion_0330,O=C([O-])C=Cc1ccc(Cl)c(Cl)c1
Anion_0331,O=C([O-])C1(C(F)(F)F)CC1
Anion_0332,CC(C)(C)c1ccc(CC(=O)[O-])cc1
Anion_0334,COc1ccccc1CCC(=O)[O-]
Anion_0335,C[N+](C)=C1C=CC(=CC=C([O-])[O-])C=C1
Anion_0336,CC(=O)Oc1ccc(C=CC(=O)[O-])cc1
Anion_0337,O=C([O-])c1c[n+](C2CC2)c2cc(Cl)c(F)cc2c1[O-]
Anion_0339,O=C([O-])c1c[n+](C2CC2)c2c(F)c(F)c(F)cc2c1[O-]
Anion_0340,CC(C)C=CC(=O)[O-]
Anion_0341,CCCCC(=O)C(=O)[O-]
Anion_0342,COc1ccccc1OCC(=O)[O-]
Anion_0343,O=C([O-])C=Cc1ccccc1F
Anion_0344,O=C([O-])CCc1ccco1
Anion_0345,O=C([O-])CCCOc1ccccc1
Anion_0346,O=C([O-])C=C1CCCCC1
Anion_0347,O=C([O-])CCCOCc1ccccc1
Anion_0348,O=C([O-])Cc1ccco1
Anion_0349,O=C([O-])C=CC=Cc1ccc2c(c1)OCO2
Anion_0350,COc1ccc(OC)c(CC(=O)[O-])c1
Anion_0351,Cc1cc(C(=O)[O-])n[nH]1
Anion_0352,O=C([O-])C1=[S+2]=CC=C1Br
Anion_0353,C=CCCCCCC(=O)[O-]
Anion_0354,O=C([O-])C[N+]1=CC=[N+]=C1
Anion_0355,CCCC(C)(C)C(=O)[O-]
Anion_0356,O=C([O-])CCc1ccccc1Cl
Anion_0357,CN(C)CCC(=O)[O-]
Anion_0358,CS(=O)(=O)CC(=O)[O-]
Anion_0359,O=C([O-])C=CC1=CC=[N+]=C[CH-]1
Anion_0360,C[N+]1=[N+]=CC=C1C(=O)[O-]
Anion_0361,C=CC(C)(C)C(=O)[O-]
Anion_0362,CC(=O)CCCCCC(=O)[O-]
Anion_0363,O=C([O-])C#Cc1cccc2ccccc12
Anion_0364,O=C([O-])CCN1CCCCC1
Anion_0366,O=C([O-])C=Cc1c[nH+]c[n-]1
Anion_0367,O=C([O-])C1=[N+]=CC=[NH+]1
Anion_0368,CC(C)(CC(=O)[O-])c1ccccc1
Anion_0369,Cn1cc(C(=O)[O-])c(C(F)F)n1
Anion_0370,O=C([O-])c1c[s+]c2cccc[c-]12
Anion_0371,O=C([O-])C1=CC(=C2C=CC=C[CH+]2)O[N-]1
Anion_0372,CCCCC=CC(=O)[O-]
Anion_0373,C=C(CC(=O)OC)C(=O)[O-]
Anion_0374,COc1cc2c(c(OC)c1OC)=[NH+]C(=C([O-])[O-])C=2
Anion_0375,O=C([O-])c1ccno1
Anion_0376,O=C([O-])CCCc1cccs1
Anion_0377,O=C([O-])c1c[n+](C2CC2)c2cc(F)c(F)cc2c1[O-]
Anion_0378,O=C([O-])C(=O)c1c[nH+]c2cccc[c-]12
Anion_0379,Cc1ccccc1CCC(=O)[O-]
Anion_0380,N#Cc1ccc(C=CC(=O)[O-])cc1
Anion_0381,O=C([O-])Cc1ccc(F)c(F)c1
Anion_0382,O=Cc1ccc(C=CC(=O)[O-])cc1
Anion_0383,O=C([O-])c1cc(Br)cs1
Anion_0384,Cc1ccc(CCCC(=O)[O-])cc1
Anion_0385,CCSCC(=O)[O-]
Anion_0386,C=C(C)CC(=O)[O-]
Anion_0387,Cc1occc1C(=O)[O-]
Anion_0388,CC1=C[CH-]OC1=C([O-])[O-]
Anion_0389,CCCCCCCCCC=CC(=O)[O-]
Anion_0390,CC1(C)C(C(=O)[O-])C1(C)C
Anion_0391,C=C(C(=O)[O-])C1CC1
Anion_0392,CC(F)(F)C(=O)[O-]
Anion_0393,O=C([O-])C1(c2ccc(Cl)cc2)CC1
Anion_0394,O=C([O-])C#Cc1cccs1
Anion_0395,CC(C)(Cc1ccccc1)C(=O)[O-]
Anion_0396,N#CC1(C(=O)[O-])CC1
Anion_0397,O=C([O-])c1c[n+](C2CC2)c2nc(Cl)c(F)cc2c1[O-]
Anion_0398,O=C([O-])CCc1ccc(C(F)(F)F)cc1
Anion_0399,O=C([O-])c1cc2cc(Br)ccc2oc1=O
Anion_0400,CCCCCCC(=O)C(=O)[O-]
Anion_0401,CC1CCC(C(=O)[O-])CC1
Anion_0402,O=C([O-])C=Cc1ccccc1Br
Anion_0403,COc1ccc(C(=O)CCC(=O)[O-])cc1OC
Anion_0404,O=C([O-])c1cc2cc(Br)ccc2[nH]1
Anion_0405,O=C([O-])Cc1c[s+]c2cccc[c-]12
Anion_0406,O=C([O-])COc1ccc(Cl)c(Cl)c1
Anion_0408,O=C([O-])Cc1ccc(F)cc1F
Anion_0409,O=C([O-])Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1
Anion_0410,O=C([O-])C[n+]1ccc2cccc[c-]21
Anion_0411,CC1=CC(=C([O-])[O-])[C+](C)O1
Anion_0412,C[N+]1=CC=[N+]=C1C(=O)[O-]
Anion_0413,CC1=[N+]=C[S+]=C1C(=O)[O-]
Anion_0414,CCOc1ccc(CC(=O)[O-])cc1
Anion_0415,O=C([O-])CCSSc1ccccn1
Anion_0416,C=C(C)CCC(=O)[O-]
Anion_0417,C=CCCCCCCC(=O)[O-]
Anion_0418,O=C([O-])Cc1cc(F)c(F)cc1F
Anion_0419,O=C([O-])C=Cc1ccccn1
Anion_0420,O=C([O-])CCCN1C(=O)C=CC1=O
Anion_0421,CCCCC#CC(=O)[O-]
Anion_0422,COc1ccc(C=CC(=O)[O-])c(OC)c1
Anion_0423,O=C([O-])C1=CC=[S+2]=C1Br
Anion_0424,O=Cc1ccc(C(=O)[O-])s1
Anion_0425,O=C([O-])Cc1ccc2c(c1)C(=O)c1ccccc1CO2
Anion_0426,CCCCC(C)(C)C(=O)[O-]
Anion_0427,COc1ccccc1C=CC(=O)[O-]
Anion_0428,O=C([O-])CCC(=O)c1ccc2ccccc2c1
Anion_0429,O=C([O-])C(=O)c1ccc(C(F)(F)F)cc1
Anion_0430,CC1=[NH+]C(=C[O-])C(C)=C1C(=O)[O-]
Anion_0431,CC(C)CCCCC(=O)[O-]
Anion_0432,O=C([O-])CCCCCN1C(=O)c2ccccc2C1=O
Anion_0433,O=C([O-])C(=O)C=Cc1ccccc1
Anion_0434,O=C([O-])C=Cc1ccc2ccccc2c1
Anion_0435,Cc1noc(C)c1C(=O)[O-]
Anion_0436,O=C([O-])C1(c2ccccc2)CCCCC1
Anion_0437,O=C([O-])COc1cccc(Cl)c1
Anion_0438,COC1=CC=CC(=CC=C([O-])[O-])[C+]1OC
Anion_0439,CC(C)(C)CCC(=O)[O-]
Anion_0440,O=C([O-])C=Cc1ccc(Cl)cc1Cl
Anion_0441,CC(C)c1ccc(CC(=O)[O-])cc1
Anion_0442,O=C([O-])C#Cc1ccc(C(F)(F)F)cc1
Anion_0443,CC1=[N+]=[N+]=[S+2]=C1C(=O)[O-]
Anion_0444,O=C([O-])C1=[S+2]=c2ccccc2=C1Cl
Anion_0445,CCC(C)(CC)C(=O)[O-]
Anion_0446,O=C([O-])C1=CCC1
Anion_0447,O=C([O-])C[n+]1cc(F)c([O-])[nH+]c1[O-]
Anion_0448,CC1(C(=O)[O-])CCCC1
Anion_0449,Cc1ccc(S(=O)(=O)CC(=O)[O-])cc1
Anion_0450,COc1ccc(CC(=O)[O-])c(OC)c1
Anion_0451,Cc1c(C(=O)[O-])[nH+]c2cccc[c-]12
Anion_0453,C=C(F)C(=O)[O-]
Anion_0454,CC(C)(Oc1ccccc1)C(=O)[O-]
Anion_0455,O=C([O-])CCc1ccc2ccccc2c1
Anion_0456,CC(C)(C)C1CCC(C(=O)[O-])CC1
Anion_0457,O=C([O-])C[n+]1ccc([O-])[nH+]c1[O-]
Anion_0458,CN1CCN(CC(=O)[O-])CC1
Anion_0459,COc1ccc(CCCC(=O)[O-])cc1OC
Anion_0460,O=C([O-])C1=[N+]=C[NH+]=N1
Anion_0461,O=C([O-])CN1CCCCC1
Anion_0462,CC1=C[C-](CC(=O)[O-])O[N-]1
Anion_0463,O=C([O-])C(Cc1ccccc1)Cc1ccccc1
Anion_0465,C[N+]1=[N+]=C(C(=O)[O-])c2ccccc21
Anion_0466,C=C1CC(C(=O)[O-])C1
Anion_0468,Cc1cccc(C)c1OCC(=O)[O-]
Anion_0469,CC1=CC(=C([O-])[O-])[N+](C)=N1
Anion_0470,Cc1nc(C)c(C(=O)[O-])s1
Anion_0471,O=C([O-])CCC1=[N+]=c2ccccc2=[NH+]1
Anion_0472,COC1=CC=CC2=CC(=C([O-])[O-])O[C+]21
Anion_0473,O=C([O-])Cc1c[nH+]c2cccc(Cl)[c-]12
Anion_0474,CCC=CCC=CCC=CCC=CCCCCC(=O)[O-]
Anion_0475,CCOCCC(=O)[O-]
Anion_0476,O=C([O-])CCCC(=O)OCc1ccccc1
Anion_0477,C[N+]1=CN=CC1=C([O-])[O-]
Anion_0478,O=C([O-])COc1c(Cl)cc(Cl)cc1Cl
Anion_0479,O=C([O-])C(=O)c1cccc(Cl)c1
Anion_0480,COC(=O)CCCCCC(=O)[O-]
Anion_0481,O=C([O-])COc1ccc(I)cc1
Anion_0482,O=C([O-])C(=O)c1ccccc1Cl
Anion_0483,O=C([O-])Cc1c(F)cccc1F
